"","Gene","Clinical.feature","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"49","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level3-level4",-0.0783011257432893,-0.446129090100129,0.28952683861355,0.947311115016474
"50","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level2-level4",-0.00317036046739538,-0.327396875672545,0.321056154737754,0.999994294914691
"51","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level1-level4",-0.220335131974156,-0.53824652140615,0.0975762574578368,0.282364935515264
"52","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level2-level3",0.0751307652758939,-0.243341366087459,0.393602896639247,0.930056073676701
"53","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level1-level3",-0.142034006230867,-0.454074575425999,0.170006562964265,0.645811388563739
"54","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level1-level2",-0.217164771506761,-0.476384251142842,0.0420547081293203,0.13670506810153
"55","TMPRSS2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",-0.647756685122424,-1.51059222465409,0.215078854409243,0.180841430278619
"56","TMPRSS2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",-0.1581240645633,-0.789157641833455,0.472909512706856,0.824070693565881
"57","TMPRSS2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",0.489632620559124,-0.41988853194583,1.39915377306408,0.411987960334553
"58","TMPRSS2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",0.112905642846394,-0.209160303111896,0.434971588804684,0.689309227534247
"59","TMPRSS2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",0.0366729433593491,-0.227412183624445,0.300758070343143,0.943216178552632
"60","TMPRSS2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",-0.0762326994870453,-0.420341173670221,0.267875774696131,0.861807551728463
