"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","Group1.mean","Group2.mean","Group3.mean","Group4.mean","Group5.mean","term","comparison","estimate","conf.low","conf.high","adj.p.value","p.adj"
"89","TMPRSS2","race","BRCA","Tumor",1084,989,"AA","ASIAN","WHITE",NA,NA,182,61,746,NA,NA,0,0,0,NA,NA,7.96522285705382,8.01227038624592,7.64995908586395,NA,NA,"race","AA-WHITE",0.315263771189874,-0.0376997531358379,0.668227295515587,0.0910505630050498,0.546303378030299
"90","TMPRSS2","race","BRCA","Tumor",1084,989,"AA","ASIAN","WHITE",NA,NA,182,61,746,NA,NA,0,0,0,NA,NA,7.96522285705382,8.01227038624592,7.64995908586395,NA,NA,"race","AA-ASIAN",-0.0470475291921009,-0.678678580663948,0.584583522279746,0.983289588714045,0.999988432922797
"91","TMPRSS2","race","CESC","Normal",3,3,"AA","ASIAN","WHITE",NA,NA,1,0,2,NA,NA,0,0,0,NA,NA,1.73552217729654,NA,6.26327082540653,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","TMPRSS2","race","CESC","Tumor",304,259,"AA","ASIAN","WHITE",NA,NA,30,20,209,NA,NA,0,0,0,NA,NA,7.45319836288013,7.95220537285354,8.19315075639233,NA,NA,"race","ASIAN-WHITE",-0.240945383538787,-1.58556020979513,1.10366944271756,0.906367907847844,0.999988432922797
"93","TMPRSS2","race","CESC","Tumor",304,259,"AA","ASIAN","WHITE",NA,NA,30,20,209,NA,NA,0,0,0,NA,NA,7.45319836288013,7.95220537285354,8.19315075639233,NA,NA,"race","AA-WHITE",-0.739952393512199,-1.86154070688978,0.381635919865382,0.267085989745411,0.960056325446232
"94","TMPRSS2","race","CESC","Tumor",304,259,"AA","ASIAN","WHITE",NA,NA,30,20,209,NA,NA,0,0,0,NA,NA,7.45319836288013,7.95220537285354,8.19315075639233,NA,NA,"race","AA-ASIAN",-0.499007009973411,-2.15736265078635,1.15934863083953,0.758182948798231,0.999988432922797
"95","TMPRSS2","race","CHOL","Normal",9,9,"AA","ASIAN","WHITE",NA,NA,0,0,9,NA,NA,0,0,0,NA,NA,NA,NA,10.7435670719748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","TMPRSS2","race","CHOL","Tumor",36,36,"AA","ASIAN","WHITE",NA,NA,2,3,31,NA,NA,0,0,0,NA,NA,11.8795908244103,9.3238930774247,9.94542372855198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","TMPRSS2","race","COAD","Normal",41,20,"AA","ASIAN","WHITE",NA,NA,3,0,17,NA,NA,0,0,0,NA,NA,13.6315425907463,NA,13.2178586386087,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","TMPRSS2","race","COAD","Tumor",447,282,"AA","ASIAN","WHITE",NA,NA,59,11,212,NA,NA,0,0,0,NA,NA,11.8900358758684,12.1719867853486,11.7644539716122,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","TMPRSS2","race","DLBC","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","TMPRSS2","race","DLBC","Tumor",48,48,"AA","ASIAN","WHITE",NA,NA,1,18,29,NA,NA,0,0,0,NA,NA,1.58496250072116,2.32419880069176,2.88006906209256,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","TMPRSS2","race","ESCA","Normal",9,9,"AA","ASIAN","WHITE",NA,NA,0,0,9,NA,NA,0,0,0,NA,NA,NA,NA,11.6405235901298,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","TMPRSS2","race","ESCA","Tumor",161,143,"AA","ASIAN","WHITE",NA,NA,5,38,100,NA,NA,0,0,0,NA,NA,7.6005806592493,6.11777836593409,9.60322689070139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","TMPRSS2","race","GBM","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","TMPRSS2","race","GBM","Tumor",152,151,"AA","ASIAN","WHITE",NA,NA,10,5,136,NA,NA,0,0,0,NA,NA,2.54399428434713,3.63489456541002,3.03574476017056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","TMPRSS2","race","HNSC","Normal",44,43,"AA","ASIAN","WHITE",NA,NA,2,1,40,NA,NA,0,0,0,NA,NA,9.48720215804794,11.4027989066471,9.52486084542958,NA,NA,NA,NA,NA,NA,NA,NA,NA
