"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"Granulocyte-macrophage progenitor",-0.622202780389582,-0.617656602508574,-0.105941803315907,0.0790958248619893,-0.306252155836034,-0.659985911747811,-0.546660916003175,0.0284781252814319,0.0462096551760219,-0.417374926997991,-0.110425213748616,0.147736122840984,0.0848697057913502,-0.249798582430374
"Hepatocytes",-0.421255433615849,-0.344576751282315,0.147450994389717,-0.0257007693817306,-0.402608695652174,-0.528426265354685,-0.400659824046921,-0.12249699879952,0.0440281709598179,0.260434739594739,-0.2635216066037,0.450924717170368,-0.0465572110789092,-0.16123709954027
"Hematopoietic stem cells",-0.747368421052632,-0.759378800338009,-0.515331010452962,-0.199154334038055,-0.252173913043478,-0.583445880764036,-0.247067448680352,-0.301320528211284,-0.330859146697838,-0.293571428571429,-0.284043370613848,-0.589321468298109,-0.0993263403980436,-0.637492941840768
"iDC",-0.659649122807018,-0.600143077486134,-0.223170731707317,-0.138830162085976,-0.672173913043478,-0.708566467296932,-0.654692082111437,-0.0148379351740696,-0.267855055523086,-0.486632653061224,-0.566464611969606,0.40111234705228,0.020086745209019,0.0649350649350649
"Keratinocytes",0.680122926377893,0.601375424784457,0.537630662020906,-0.0116983791402396,0.314782608695652,0.517653868415975,0.325513196480938,0.332148859543818,0.343483343074226,0.526224489795918,0.308460684709297,0.336411171288506,0.0689962779537974,0.873375346197275
"Lymphatic endothelial cells",-0.264912280701754,-0.731304801245648,-0.239476833074797,-0.58254343036272,0.0173913043478261,0.0632516560550518,0.294721407624633,-0.255414165666267,-0.188720046756283,-0.0142857142857143,-0.286263126440707,-0.411790878754171,-0.248515795625827,-0.317899491812535
"Macrophages",-0.285964912280702,-0.317025552418735,-0.0261324041811847,-0.0809305654788179,-0.474782608695652,-0.298831909070601,-0.32624633431085,0.0139735894357743,-0.00479251899473992,-0.25,-0.00324432776322008,0.681138894476698,0.103448275862069,0.256747276418454
"Macrophages M1",-0.373684210526316,-0.279313329568769,0.0261324041811847,-0.158139534883721,-0.355120668501407,-0.123087523666078,-0.16625423953979,0.0839855942376951,-0.0153711279953244,-0.283469387755102,-0.336207632545035,0.73690066091768,-0.00418887220239445,0.0288298657968033
"Macrophages M2",-0.533333333333333,-0.538596553253724,-0.0664342013600599,-0.197610909598,-0.594782608695652,-0.688725963084443,-0.582478005865103,-0.167539015606242,0.197837521917008,0.0744897959183673,-0.124693176267972,0.616531319868022,0.116429296502507,0.102202145680407
"Mast cells",-0.652631578947369,-0.188033798235762,0.227526132404181,-0.0604736402963503,0.155097658320395,0.305912456042427,0.178910552058893,0.100716020279235,0.0217416715371128,-0.220102040816327,-0.16964419119785,0.36329254727475,-0.0761942846596327,-0.0999435347261434
"Megakaryocytes",-0.591228070175439,-0.727569919588619,-0.101585643640088,-0.00239613799084593,0.0391304347826087,0.0576885973374494,0.00806451612903226,0.0440336134453782,-0.0822326125073057,-0.0312244897959184,-0.0157944164603432,-0.504783092324805,-0.12479621028023,-0.577802903583037
"Melanocytes",-0.32280701754386,-0.375641570600138,-0.111034807463116,0.219340289746203,0.487826086956522,0.412984757862242,-0.0381231671554252,-0.314861944777911,-0.174634716540035,-0.277040816326531,-0.2090839238453,-0.032258064516129,-0.238487803377526,-0.482778091473744
"Memory B-cells",0.0783815895340488,-0.324652042633126,0.345470383275261,-0.0024680676516976,0.0642654438701494,0.0110172598680344,-0.322729125307193,-0.161908613284506,0.0726569169570034,-0.306232307859991,-0.182267229059838,0.687548830445938,0.00232167938036119,0.15662504515102
"Megakaryocyte-erythroid progenitor",0.0736842105263158,-0.0700227924028148,-0.265853658536585,-0.530796335447498,-0.0234782608695652,-0.457006881471477,-0.319648093841642,-0.219207683073229,-0.329573348918761,-0.177448979591837,-0.463758217365321,0.677864293659622,-0.249500138423206,-0.00846979107848673
"Mesangial cells",0.359649122807018,-0.267089788698263,-0.146864111498258,-0.203693263935259,-0.0765217391304348,0.104701266962506,0.101906158357771,0.222279825767441,0.166218585622443,0.0830612244897959,-0.641253308289934,-0.0825361512791991,0.126927566648668,0.0547713156408808
"Monocytes",0.0473892103540725,-0.290525141072384,-0.326884562621649,-0.30813218057342,0.0973949466384328,-0.398606340948608,-0.271887928765648,0.271068427370948,0.0308007013442431,-0.106632653061224,-0.121056201696147,0.650591233837187,-0.276516793319189,-0.02397734208986
