"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"Endothelial cells",-0.254453447440148,0.118160694976333,0.0933940350599236,-0.0775373735689865,0.0725915440077087,-0.0852041478344093,0.205903132359863,0.402970794603309,-0.156358539370798,-0.132351490206674,0.0190996503496503,-0.187278965186672,-0.121652143435755,0.00228226461878921,0.0892202297850105,0.13819363311932,0.343289647571529,-0.0603211266105548,-0.0712061501839317,-0.365514793718945,0.10780789031807,-0.0785207513149737,-0.0352549558156198,0.00833775039285134,0.0315528586080832,0.101969141070608,-0.0397226330941353,0.615197196972531,-0.430138258171941,0.0548287624907971,0.0185490968159528,0.0692424682682825,-0.143838236120318
"Eosinophils",-0.0446189349281548,0.342959030348733,0.0568533260373293,0.196228353978456,-0.0941842855252956,0.056456204635567,0.0189716766141706,0.25557818511175,0.0583415627213886,0.103815414833572,0.0282219522292528,-0.0293415851014131,0.112256543575302,0.0492456946867712,0.0262788098109373,0.274345988610613,0.253426782334012,0.207680528503195,0.0618975812494952,0.242612759596911,-0.0313894124425334,-0.143307500108891,0.149628681513827,0.144777209387764,-0.0700458248994061,-0.00971244847613075,0.0945358791697611,-0.118113585514324,0.0141287260949203,-0.122689388077243,0.11669815420614,0.187344118143147,0.175849886458615
"Epithelial cells",-0.151652696830636,-0.135541308924214,0.305073691339195,0.107288430117338,0.121750321750322,0.336859223781004,0.542054765821967,0.216468253968254,0.0569264701864414,0.0669135825649134,0.0416520979020979,0.357773091592855,0.342729846601481,0.088795984266099,0.278188265650225,0.0354615767502191,0.270157406302932,0.048086716291737,0.141850761843613,0.435021034954381,0.168455869257336,-0.156323882682117,0.265383926438978,0.162140752296523,0.209136927706354,0.268805394794962,0.256037454339661,0.810301874088206,0.525861933629988,-0.0742349682041913,0.00565701226641817,0.808523727454471,0.0738802223687081
"Erythrocytes",-0.0637603191771287,-0.169725130000362,0.0116249036562738,0.00402137943627094,0.0154089503165566,0.0501495370607459,-0.323204553694147,0.0859585953080896,0.0727290387160557,-0.117961107120768,-0.111943227396227,-0.0870497214327973,-0.0310562601009173,-0.045959789956488,0.0255707745387442,-0.127985664687187,-0.0725550698288748,0.163969001549558,0.09620028551447,-0.123247291137017,-0.138526285484821,-0.0519167736460023,-0.0142613642507361,0.0524780590568885,0.0287776003354727,-0.0232837909599269,0.068127153952353,0.210792806849993,-0.0515820342818308,0.098791831142462,0.0383609219961745,-0.184799438417881,0.0732299107654181
"Fibroblasts",-0.0790435392083335,-0.0182568956730344,0.0918576804755482,-0.0109208975713945,-0.108950441131626,-0.196391128469956,0.0224077202491538,0.110599999658332,0.14995441241833,0.0726572408795502,0.0281436523592834,0.0284722398149891,-0.0116594081746533,0.0180125169499899,0.181353360940728,0.277977291269237,0.165285940547349,0.0634128207173967,-0.153069892678317,-0.290465332359334,0.0333047152791368,-0.0481503890530815,-0.18413267368801,-0.310260753924723,0.0297855435086617,-0.0381880614392248,-0.286234318758031,0.431431888008924,0.0419858268348913,0.127373479836204,-0.0764073793324109,0.0314086023388705,0.138532127218303
"Granulocyte-macrophage progenitor",-0.0390424495779702,-0.0512805210085144,-0.0232812889003402,-0.0474963621141684,0.00238756294750031,-0.0363771800679186,0.190308365496046,0.271251463338562,0.0887529531149452,0.0205719307046284,-0.0126506078426248,-0.138696053805543,-0.0305253087535433,-0.0355388127620672,0.111674076160151,0.209189683960963,0.231412602293032,0.142591631073307,0.0708761957722451,-0.132915060328662,-0.091167986778283,0.0398708303206299,-0.0040130510102243,-0.15097748883918,-0.0414828746524647,-0.0149280520931868,0.0433409670088203,0.0576095138223517,-0.104591134240758,-0.0051075375408783,-0.0565201137557355,0.170139686363133,0.119224623739707
"Hepatocytes",-0.0481624725656285,0.0164357152369876,0.0956656465697089,0.0350030028621599,0.364478764478764,0.0310756180811945,-0.067252256864912,0.41562560371694,0.0666654929195618,-0.0605275837490628,-0.0139156072315786,0.113807942722523,0.178736714782071,0.00660932393248953,0.337824677995098,0.0619654417446004,-0.0368969702089459,0.0385264621538663,0.0359824733989076,0.0764342668490013,0.104823897265829,0.0223002492594537,0.109352221109728,-0.106721960635095,0.0380662264592181,0.163631032617428,0.203887021184395,0.516831973652408,-0.20328095787734,0.00680854069181532,0.169558468152649,0.0295308267419812,0.0767713471824489
"Hematopoietic stem cells",-0.180591336723842,0.296020249695267,0.131466945030027,0.0875503044992599,0.217503217503218,-0.204310259232793,-0.0678231197803765,0.222972739820566,-0.133607090264975,0.240949185794614,0.0195804195804196,-0.0415706932034504,0.00183861205888381,0.0457217342412489,0.237099711658446,0.509056703479605,0.439110718801441,0.0595931130135309,-0.116649049289487,-0.197401793597756,0.0187689252219749,-0.30846798928293,-0.146480176737521,-0.210316786021416,0.0127773138879785,0.0573305070819082,-0.162707268429829,0.569261462112994,-0.259850871629255,0.110932281246804,-0.0158087321463962,0.0760436781327387,-0.152787588644222
"iDC",-0.12799000600338,-0.0856517336177835,0.0979280477880446,0.157268573675303,-0.041956241956242,-0.235606853720511,-0.144963682453145,-0.0289021164021164,-0.0316582393617575,-0.0162853515191396,0.0312062937062937,0.0125888003736264,0.0105991464017458,0.0278910228595339,-0.0596749869429712,0.156102123801364,0.301058090989336,0.242853990300738,-0.0671488549930374,0.027241564377348,0.0633085432211973,-0.330418887846732,0.0014658466682589,-0.103952779025467,-0.0391184023986588,0.0939034167720911,-0.0366753523449818,0.0294093442561628,0.409716000819759,-0.149146483029583,0.113701811583156,0.326013773351997,-0.0349316027542986
"Keratinocytes",0.0244067709171231,-0.378076588153962,0.231178935422186,-0.10360161367362,0.174259974259974,0.149579435183951,0.410203363005816,-0.528775592362549,-0.107436118124849,-0.282109712752736,-0.0565128552574738,0.294428065144384,0.349549962317459,0.0404764069954655,0.193226353411834,-0.214362296436598,0.0442847532027578,0.0867943483205162,0.0788247474789696,0.177128598881598,0.0698724664275235,-0.0957692703448221,0.11522271315978,0.0573056018487648,0.0837377229707027,0.291787850769014,0.128534117768114,0.766818497511161,0.524310254132338,-0.238180018379622,-0.108424142364451,0.66127629601161,0.047941001510418
"Lymphatic endothelial cells",-0.275856865125936,0.214033224252131,0.0835588477446577,-0.00502627567126101,0.127314094120878,-0.199393520929096,0.195858991945612,0.338219419067673,-0.156397842610202,0.0193582533324249,0.00305944055944056,-0.153628470524983,-0.090834994672979,-0.061027456613576,0.139129537719002,0.149740059924633,0.379126644049305,-0.0486437240060227,-0.0438624911174432,-0.319585403421799,0.0960311757698499,-0.0471443117608,-0.191384916849385,0.0305479498401946,-0.0477144644488267,0.0151060271100628,-0.0648060271000128,0.434835845833489,-0.390525847942144,-0.0441891766794903,0.0222316849578125,0.141388009484706,-0.113511269507634
"Macrophages",-0.32066180436375,-0.3898519789072,-0.0642746640233893,-0.278956943469123,-0.187435639580124,-0.171895083961046,0.0980282713041645,0.0336918124175123,-0.0622409516885527,-0.1442038457754,-0.352097902097902,-0.00546752133995786,-0.00105820677279965,0.139692530700498,0.0422587249909365,-0.0710535604151067,0.244153680563754,0.0311816732855188,-0.169784825646072,-0.125105230020114,-0.00439095247296535,0.03420893449858,-0.100756932428716,0.0160221566631478,-0.0857037754893085,-0.230563091028831,0.0793057420571159,-0.294341040747043,0.19224632927929,-0.0997388259877554,-0.145029323551575,0.335604108604242,0.00366473286670746
"Macrophages M1",-0.333446282490942,-0.32465326680408,0.0272852695817791,-0.261006551101102,-0.068983268983269,-0.172999659941957,0.151965701832014,0.0599380605536771,0.0539633477026276,-0.117814388422034,-0.346022727272727,-0.0741196151432616,0.0139709782163768,0.151492622386481,0.0669356191232505,-0.221522619938233,0.242515562905561,0.0959087003663743,-0.135897772498413,-0.0603629611675698,0.0278771593945397,-0.02864749854931,-0.0880045378552663,0.0108724613132393,-0.111112014766396,-0.17726204353377,0.0596933077907811,-0.11892998704699,0.14276444947543,-0.0949893580835765,-0.16772171100795,0.274240404661813,-0.0294111409874793
"Macrophages M2",-0.418399562973222,-0.181600310053393,-0.0804111962857417,-0.152963658583661,0.101158301158301,-0.0618543334488236,-0.0288833299378342,0.366263457597437,-0.096843181893135,-0.180343869904711,-0.172552447552448,0.101541009984622,-0.0699385923666454,-0.0580727218152691,0.0887426945248004,0.22127540377403,0.240410877633074,-0.121322993207937,-0.156645443206391,-0.240493152819376,0.0109778479806402,0.0778529073677114,-0.0406871555770316,-0.167012056929624,-0.0417487025243964,-0.201930786055166,0.27451407061715,-0.314384223853101,-0.114851554366337,-0.0606561353182095,-0.0398614542507747,0.240481465201781,-0.0751017713554085
"Mast cells",-0.197727617339363,-0.181942111444401,-0.144582715212204,-0.107409995926203,-0.279425961065134,0.0457811976754275,-0.222915851319459,0.0622642051989878,-0.0478342820479916,-0.0504463291529084,-0.0440122377622378,-0.0389897896861216,0.0659820599688943,0.021432350170234,-0.195589545190211,0.266140951024715,0.139659535729377,-0.0778312718272864,-0.136339623749009,-0.167476802730426,-0.187854362919385,0.23841756472748,0.159121593513889,-0.144244497807066,-0.136062012046562,-0.070476985430001,0.114317664500723,-0.737569275302459,0.116785133054647,-0.0111203097878472,0.0422173397287658,0.00879610710180815,0.186591607718489
