"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"pDC",-0.334035053627333,0.146180990449645,0.140533755817822,0.220163383049704,-0.150202716058504,0.128067642923784,-0.0601752354219976,0.31574240549698,0.0110563515809599,0.191778880866513,0.160367153011917,0.0312431843860081,0.158402976637816,-0.198735275208409,-0.0444053100601379,0.0467469324365049,-0.218475888161968,-0.0294258204124554,0.118638619711652,0.129363662108329,-0.184706077124794,0.0959942355616174,-0.0095600486707001,0.217019942679723,-0.208863421461651,-0.133956540011261,-0.229554100748176,0.186166393694574,-0.34787219313408,0.185829989584286,0.0832935713849022,0.0737080016932722,0.038488561145262,-0.137934929567636
"Pericytes",-0.262853885479068,-0.11995340897343,0.142831709240572,-0.0485187532542585,-0.248453814544185,-0.108168095643556,0.0603137812451422,-0.0856661528118533,-0.122276770054172,-0.161673756995401,-0.0378579507578873,0.0960456043467324,-0.222377826240446,-0.173962066907842,-0.0105247563147305,0.184881948306257,-0.105728179063451,-0.126686532083227,-0.0276252524887474,-0.120628097772672,-0.124008347295333,-0.223997388265148,0.08551729476765,-0.0923311852915993,0.162759968222696,0.000110442408299843,0.0766682734868591,-0.124661260911657,0.271502413583518,-0.0424263322468871,-0.0384625123060441,-0.058362871079491,0.0929127427709236,-0.241481312477951
"Plasma cells",0.316796494644596,-0.0589032026134694,0.172744096963424,0.155674932691521,-0.0561132561132561,-0.0476011333296072,-0.311116322334764,0.322522159846727,-0.0172330116195535,0.105119164776795,-0.19307466210355,0.108685782590751,0.072732214056758,0.0326493027484101,0.0395496414953951,-0.216813793696548,0.0510519340489629,0.0204845786181816,0.174577108873038,-0.0826986549672048,-0.0612970976159489,0.0136473160371461,-0.170454747548657,0.0258359207069501,-0.00279580629236806,0.0267476205073141,-0.326645648890767,0.172772531996208,-0.0628823368758133,0.306908386755716,0.444751459905996,-0.0303820903638103,-0.438045762978567,-0.210907863624968
"Platelets",0.0248754354814079,0.0126522177630443,-0.0274929670170618,0.00979694359818846,-0.00158189947817892,0.000422420350832779,-0.00620754589055757,0.202248222039768,-0.0303043158309604,-0.0416730654219103,-0.0963120800386372,-0.0799263084822966,0.245509052507575,0.154887162980896,-0.0380029335259758,0.0181231355443257,-0.0214617256015511,-0.0439462566749041,0.12896042639244,-0.011686266675459,-0.0105633975225362,-0.0145235320405628,-0.164437255578427,0.00636266131141237,0.106601223892657,0.0715747639043016,-0.048157450332542,0.083051095207824,-0.0890207021318276,0.206610964068257,-0.00343670312956785,0.0269114680740622,0.223479592330531,-0.00817550145426381
"Preadipocytes",0.135984557115793,-0.0455850435415351,0.101365209957669,-0.13183027133353,0.0563165656782491,-0.0736082162445898,0.0278907658937074,0.15926374542175,-0.0554352233647499,-0.000656442468304656,0.123746250243824,-0.072580865882272,0.0518399615341566,0.076798143169412,0.0629562333867321,0.244157824866891,0.036677311444887,-0.0450119187062241,0.136144759049828,0.0350564211262127,0.0469739355742004,-0.0315536546388048,-0.179779856446923,0.0800872281290901,0.0713723960950176,0.0844547805631787,0.203317770905279,0.0222889704418432,-0.341465363729941,0.213887942013908,-0.055201053552725,-0.0289686253253357,-0.11525522769897,0.127647701705392
"pro B-cells",-0.252017289246021,-0.105982035938301,0.201490918929584,-0.0816592487549014,0.13160132244139,-0.123060193062781,-0.0379690777997308,-0.0884496155956544,0.00202270854864341,-0.0313014744781195,-0.0202206546662636,-0.112379658893977,-0.185084006029803,-0.0442165100497894,0.0345289772165184,-0.285618873706868,-0.242772937239767,-0.0805527526227055,-0.0608835409322335,-0.0226679417037425,-0.200120274491302,0.130423690350294,-0.105670841725466,-0.118868044270876,-0.208588592253802,-0.066809489657003,-0.188926325435455,-0.0243175491610716,-0.407990423494236,0.0327794962642898,-0.142799152549917,-0.160252583363105,-0.255335873856041,-0.195282924307846
"Sebocytes",-0.0230180035176373,0.362866374299115,0.515254820937653,0.32149343493452,0.281338481338481,-0.00283077123165756,0.173266961851004,-0.0340493443754313,-0.0691298783760195,0.284851475405902,0.46405664400327,-0.27818155222917,-0.275027227533768,-0.182564605827026,0.0453186447394859,-0.021029682583339,0.19045576942033,0.283651310923969,0.209709207765687,0.23199761036647,0.0314096016343207,-0.0558920489343292,0.390158252652511,0.0510478863147839,-0.0410933621290275,0.0681582196507827,0.551112102981655,0.136098909748484,0.269179118173411,-0.0543284692205906,0.615645919384703,0.469451411910635,0.416531608673172,-0.0468073647748381
"Skeletal muscle",-0.0182761765394694,-0.0384609648466132,0.0750312765530089,0.0238704240235184,-0.133602314685907,-0.0370970329043239,0.0774521608211533,-0.180069365957812,0.070644398242522,-0.0672274776496902,-0.0820292642949843,-0.17106753136097,0.000840110941479418,0.0974377060489394,0.0159281520565526,0.0849633047320966,-0.0896297733922341,-0.0284341716567297,0.00529374404682546,-0.121598366010954,0.129113292739672,0.0345938472531558,-0.092150571140233,0.00630448420444044,-0.00615539421481363,-0.100469100523072,0.0883138556882126,-0.162378687241122,0.105776100874761,0.024576133606549,-0.0521838097092905,-0.120949478639122,-0.127936461906466,0.263247652615518
"Smooth muscle",0.334664070107108,0.081587621113894,-0.245884893044228,-0.185707286798677,-0.108880308880309,0.211578531674063,-0.0348144373867801,-0.0737060041407867,0.161181616270337,0.0605016558147825,0.186890153968258,0.169844210502389,0.125894690731386,0.0270743463418469,0.144617414906296,0.136170685387858,0.110200904936111,0.109910060357373,-0.199811223654993,0.0596570217729566,0.0548207267879711,-0.0522770877546943,-0.0511003511121818,0.126343759022961,0.147435712310362,0.0898148324667394,-0.139248089270359,-0.0700995514608687,0.235484969072622,0.19876163958314,0.0609461682551294,0.0215843772033933,-0.0754968471888628,0.135726048151937
"Tgd cells",-0.119285898699264,0.0319271857138186,-0.147969788159977,0.139638832759318,0.0803415225960342,0.0396224363695441,NA,-0.0476891348771802,0.0285671098556032,-0.0361975327861933,-0.130744620383447,-0.0397508635952133,-0.0262471531160686,0.132145627804143,-0.0328250679372362,0.162627745334606,-0.00663658753520023,-0.0183474009763947,-0.0860458673913583,-0.0624221422819655,0.127664397090156,-0.127085116034541,0.0599795596863472,0.071155842231578,0.0140592223278809,-0.0286534516552422,0.134575511464347,-0.0778875985480293,-0.138209511705284,-0.0412195107934056,0.14007055683074,-0.0485469005387294,NA,0.10509068990675
